Max;Standard Deviation;Mean value
0.7804779026;0.2658778963;0.1513759652
0.7888869852;0.270796133;0.1564821769
0.7973903091;0.2757128516;0.1616655157
0.8059854625;0.280611997;0.1668977616
0.814671042;0.285481491;0.1721549414
0.8234464152;0.2903125175;0.1774166453
0.8323115103;0.2950987469;0.1826651592
0.8412665837;0.2998357538;0.1878842689
0.8503121312;0.3045207285;0.1930589077
0.8594488724;0.3091524735;0.1981753987
0.8686774366;0.3137296814;0.2032187069
0.8779985964;0.3182514622;0.2081745204
0.8874131334;0.3227166733;0.2130282391
0.8969218103;0.3271235861;0.2177648012
0.9065254273;0.3314700678;0.2223694052
0.916224751;0.3357538371;0.2268271844
0.9260205872;0.3399729855;0.2311241119
0.9359137381;0.3441261346;0.2352466563
0.9459050178;0.3482127057;0.2391819321
0.9559952202;0.3522327586;0.2429172142
0.9661852014;0.3561873057;0.2464409482
0.9764757472;0.3600765993;0.2497407746
0.9868677074;0.3639003015;0.2528053349
0.9973619303;0.3676562499;0.255623445
1.0079592618;0.3713401226;0.2581842607
1.0186605252;0.374945827;0.2604773126
1.0294665976;0.3784675678;0.2624941743
1.0403783555;0.3819002007;0.264227585
1.0513966321;0.3852398617;0.2656708697
1.06252234;0.3884842903;0.2668195597
1.0737563273;0.3916308532;0.2676690238
1.0850995041;0.3946756675;0.2682160732
1.0965527806;0.3976128898;0.2684582732
1.1081170189;0.4004341164;0.2683931954
1.1197931484;0.4031298061;0.2680204108
1.1315820992;0.4056912149;0.2673411178
1.14348475;0.4081108146;0.2663570947
1.1555020792;0.4103822997;0.2650722917
1.1676349879;0.4124984917;0.2634896299
1.1798844282;0.4144524851;0.2616138327
1.192251324;0.4162350884;0.2594499297
1.2047366541;0.4178354465;0.2570048277
1.2173413992;0.4192434637;0.2542870562
1.23006648;0.420451308;0.2513055232
1.2429129063;0.4214541543;0.2480711011
1.255881659;0.4222476325;0.2445943275
1.2689737185;0.4228249775;0.240885463
1.2821900644;0.4231763879;0.2369545507
1.2955317094;0.4232921102;0.2328126677
1.3089996677;0.4231644862;0.2284720208
1.3225949541;0.4227882199;0.2239463997
1.3363185837;0.4221596839;0.2192510317
1.3501716097;0.4212758156;0.2144014997
1.3641550489;0.420135967;0.2094121812
1.3782699572;0.4187420098;0.2042974104
1.3925173924;0.4170939058;0.199071047
1.4068983716;0.4151864632;0.1937458104
1.4214140388;0.4130139064;0.1883360152
1.4360653696;0.4105723304;0.1828541241
1.4508535585;0.4078673646;0.1773173059
